Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
13-AUG-2024,50395.35,50559.25,49785.1,49831.85,148944173,10481.17
14-AUG-2024,49887.15,49959.25,49654.65,49727.3,137132065,8029.39
16-AUG-2024,50133,50603.4,49806.05,50516.9,130691206,7551.7
19-AUG-2024,50683.55,50728.25,50283.55,50368.35,115323210,6297.93
20-AUG-2024,50417.25,51025.6,50398.6,50803.15,144159443,8269
